"","alpha[1,1]","alpha[2,1]","alpha[3,1]","alpha[4,1]","alpha[5,1]","alpha[6,1]","alpha[7,1]","alpha[8,1]","alpha[9,1]","alpha[1,2]","alpha[2,2]","alpha[3,2]","alpha[4,2]","alpha[5,2]","alpha[6,2]","alpha[7,2]","alpha[8,2]","alpha[9,2]","beta[1,1]","beta[2,1]","beta[3,1]","beta[4,1]","beta[5,1]","beta[6,1]","beta[7,1]","beta[8,1]","beta[9,1]","beta[1,2]","beta[2,2]","beta[3,2]","beta[4,2]","beta[5,2]","beta[6,2]","beta[7,2]","beta[8,2]","beta[9,2]"
"1",-1.86642230269248,-1.95971049171649,-1.9987537824283,-1.70194477121764,-2.12524907112358,-1.86759124728954,-2.16316156476361,-1.80085062550319,-1.85957132676987,-1.21424458817959,-1.72575106165739,-1.58685344097456,-1.55839562304094,-1.83079050744303,-1.27358511695176,-2.61111694130366,-1.1250356799299,-1.63843385609907,0.223097291701869,0.234143056192364,0.217722414763744,0.215544557768728,0.249787802580372,0.198335928661703,0.26044498259387,0.204560095444129,0.206254286290047,0.153297617858165,0.17673483523999,0.20084081125933,0.205396034075382,0.212499079826937,0.1476572091012,0.311115508136701,0.15884722160623,0.190163540846588
"2",-1.92278190135362,-1.73698061326672,-1.91526296127928,-1.67047058969723,-2.16701536246821,-1.85011118159876,-2.16365997017581,-1.78909802188881,-1.90199342320635,-1.33297749683601,-1.44647109693168,-1.73517546346098,-1.54964495446935,-1.78649281433935,-1.28200245868405,-2.54853682424334,-1.1961052114767,-1.60067874208273,0.210651540696827,0.239688425588163,0.212933893437299,0.210754806061818,0.259918104241535,0.194110390734929,0.266438135869683,0.21804074449983,0.206224280096088,0.163160095320054,0.185679525865265,0.205541234201784,0.194940830683751,0.20208090584431,0.149617745783858,0.301885669388503,0.166391755141921,0.178606097417415
"3",-1.77791510367234,-1.7425180957282,-1.78616355303799,-1.939956245718,-2.18420716378901,-1.73262698861076,-2.39005702952616,-1.79501517398671,-1.946062907081,-1.29461796436273,-1.47424857284855,-1.56178013960724,-1.51005138638849,-1.69061637008724,-1.23423118783588,-2.6033931255157,-1.44676025923379,-1.58177136754001,0.220425287707647,0.222915203146878,0.209610749863397,0.220324079658551,0.266554080639266,0.187621338726849,0.305674971238566,0.216057611677544,0.215143792718811,0.162791570214979,0.188537959838751,0.193504379776964,0.200868741940105,0.205039239992489,0.145071012920813,0.315635062266925,0.176001761831543,0.17188023049598
"4",-1.70368197256249,-1.75883447554796,-1.92643494726891,-2.03166607788956,-2.13490738787826,-1.66443407838258,-2.4093374221312,-1.80335560810563,-1.990992811911,-1.2750449333407,-1.39103094038774,-1.5196788208354,-1.49770006431912,-1.92893536315647,-1.23430316430043,-2.56683723094297,-1.44376015246096,-1.65498887557804,0.209629511634779,0.214678334895234,0.220197029992959,0.24282205955219,0.265768213556378,0.18283917490987,0.303778117108476,0.223851174258822,0.201543033812374,0.142625952056336,0.175858170465051,0.196316500598367,0.208603189284526,0.205267267397006,0.158464393346708,0.307333135613387,0.191379108513201,0.180891187963586
"5",-1.77579330559198,-1.80172046461079,-1.86807667248076,-2.04743712502803,-2.28938036773556,-1.61618918710146,-2.80292338531318,-1.74256136118865,-1.67967443423117,-1.28851517530935,-1.32881625078631,-1.54188466091668,-1.69009666379196,-1.77376106330386,-1.2383274966547,-2.47718868558588,-1.36059447571757,-1.6601072164966,0.194307799028892,0.233041613652132,0.212524785135768,0.247052932803742,0.272449859075764,0.205858633888818,0.332058487852871,0.218798071502429,0.17938847467598,0.146838129838937,0.153067523463522,0.165632324922483,0.227568966286788,0.20471552562479,0.157646859999646,0.310372694378888,0.16898752439558,0.172885491492775
"6",-1.61359449505789,-1.84185864629614,-1.7466714562106,-1.88796075120527,-2.22212009896288,-1.59825243030296,-2.79706288094319,-1.73288128454005,-1.68385091272646,-1.28305670396098,-1.342331456926,-1.56133041142434,-1.68036835751238,-1.66491925362636,-1.22667273544078,-2.64270074632599,-1.33880498886527,-1.62041271022124,0.189534530715955,0.224380339119787,0.195673377927664,0.230014632129258,0.258192897913866,0.205138414269532,0.325951651580794,0.215913945834828,0.201751680486489,0.149952683417137,0.169729904862497,0.167117337371932,0.226392327832668,0.202934046246124,0.14746200175628,0.321115965277224,0.167503365388189,0.185758648418243
"7",-1.60937493655149,-1.61655277274683,-1.75720400096649,-1.85606174190758,-2.19278670023926,-1.67859178034366,-2.74861088191595,-1.73818190046375,-1.72131725555373,-1.30359083618716,-1.46655266090573,-1.21905453020941,-1.85873938472507,-1.6959916128999,-1.26704593993452,-2.60361126964645,-1.3748523533692,-1.55971169161543,0.187476190810635,0.229208669605492,0.20579558594307,0.220420819153862,0.261335990179957,0.181154103304308,0.313809221578393,0.197270182837071,0.200538119021214,0.147392095018567,0.150313357323536,0.155049832569222,0.225683791594704,0.200391947371363,0.152597983122043,0.315940663304791,0.175037149404716,0.179082281524297
"8",-1.5911325848634,-1.71828896563981,-1.86658643257997,-1.89705549514533,-2.30925325896077,-1.69027936866252,-2.91782380678251,-1.71423951174962,-1.79089479281427,-1.28117498093312,-1.43924804906636,-1.31971443889626,-1.76989830352693,-1.79659340490238,-1.28867659050539,-2.63273601309328,-1.36768711601171,-1.38600228382207,0.20234784832385,0.217678608359123,0.199550744719822,0.220784576066632,0.257759561369766,0.181092016729557,0.330600578025628,0.207990747691087,0.209146313066134,0.156716729756874,0.169194789662041,0.162713854103235,0.226039287105839,0.208680675453726,0.153456910477597,0.319016433536414,0.16082148840106,0.176852845447378
"9",-1.593222818106,-1.72891598028141,-1.69401189576921,-1.78689721254731,-2.14812602155092,-1.76221256915698,-2.87967841428389,-1.66221439269155,-1.81505567323575,-1.26849122953896,-1.47490433692623,-1.30862581536701,-1.69225859253335,-1.77040135019194,-1.48332146527728,-2.67206842400615,-1.31769570043788,-1.43739733518734,0.195626808235098,0.220935777980664,0.198370850109614,0.224659287020386,0.242017966141423,0.203234332037412,0.33107106693979,0.185902707918074,0.208488396800684,0.161312201679267,0.180572074892252,0.180634199503651,0.211249773379245,0.217594223592237,0.150180811818026,0.329939186950321,0.172330834613946,0.170901487034032
"10",-1.75026898901702,-1.55320012407507,-1.72829318629531,-1.77260272999042,-2.07257076829208,-1.81819732337948,-2.9912615531136,-1.60831657037631,-1.77102522437476,-1.27345412528341,-1.57687979874468,-1.47282991632566,-1.67756971519927,-1.76485921975347,-1.40961478405342,-2.73192251484618,-1.2816013049096,-1.37252097565305,0.207859220137555,0.218123722753532,0.201830121349992,0.218416260012065,0.246882399273078,0.205037533124911,0.351676231772814,0.190296546591259,0.194455578568303,0.14857162462721,0.183227213996916,0.187572743757362,0.18753057340437,0.220815902722805,0.148759007258481,0.315960863351051,0.165060442116242,0.143860617131744
"11",-1.71784870263338,-1.80386471727494,-1.80128107406956,-1.85468041717359,-2.12209831171058,-1.81552131581472,-2.95099950825004,-1.59256225811261,-1.94030572117168,-1.1886142273053,-1.49865985719563,-1.46730212360043,-1.58656952826226,-1.7687268424113,-1.26534941765255,-2.58858592462559,-1.361391399279,-1.18823068726739,0.196905306934948,0.230340536844024,0.205596454836338,0.209412658548177,0.269552625293042,0.191969664970442,0.326781183793223,0.204097190500653,0.204700011481134,0.135369790893128,0.154717417522023,0.18698161315994,0.189539178922495,0.211788161463978,0.129120337499023,0.301438606730891,0.171172826037982,0.144754647593588
